"Data","Open","Close","High","Low","log_return"
"2020-09-30",5.5638465901,5.5952323914,5.7179223419,5.5438738075,0.0154165437591131
"2020-10-01",5.6037921554,5.6637105033,5.7236288512,5.4582761677,0.0121643669287532
"2020-10-02",5.6294714474,5.4268903664,5.632324702,5.4268903664,-0.0427129500134116
"2020-10-05",5.5239010249,5.7150690872,5.7521613978,5.4896619689,0.0517400925563611
"2020-10-06",5.8406122923,5.6865365406,5.9062371495,5.6865365406,-0.00500501545019654
"2020-10-07",5.7065093232,5.6465909753,5.7207755965,5.5809661181,-0.00704937461684906
"2020-10-08",5.7179223419,5.8320525283,5.8748513482,5.6665637579,0.0323170057203796
"2020-10-09",5.8035199817,5.64944423,5.817786255,5.64944423,-0.0318118276275666
"2020-10-13",5.6808300313,5.7436016338,5.7436016338,5.6294714474,0.0165293019454071
"2020-10-14",5.7321886152,5.6979495592,5.8120797457,5.6979495592,-0.00798009222650465
"2020-10-15",5.5980856461,5.6351779567,5.640884466,5.5467270622,-0.0110776560708271
"2020-10-16",5.6123519194,5.5153412609,5.623764938,5.5124880062,-0.021495198129058
"2020-10-19",5.5381672982,5.5695530995,5.6893897952,5.4925152236,0.00978128776997357
"2020-10-20",5.6123519194,5.7578679071,5.7835471991,5.5895258821,0.0332524339287897
"2020-10-21",5.7521613978,5.7521613978,5.800666727,5.658003994,-0.000991571718263167
"2020-10-22",5.7350418698,5.9461827148,5.9461827148,5.7207755965,0.0331737736838001
"2020-10-23",5.9747152614,5.8691448389,6.0317803546,5.8605850749,-0.013040513226514
"2020-10-26",5.800666727,5.7778406898,5.8577318203,5.7150690872,-0.0156789101000248
"2020-10-27",5.7806939444,5.6722702673,5.8120797457,5.6522974846,-0.0184405923275938
"2020-10-28",5.5210477702,5.3270264532,5.5467270622,5.3270264532,-0.0627962436830591
"2020-10-29",5.2585483413,5.5039282422,5.5267542795,5.0616737697,0.0326688693605614
"2020-10-30",5.4611294223,5.4040643291,5.5752596088,5.3840915465,-0.0183107391494316
"2020-11-03",5.5666998448,5.6066454101,5.6779767766,5.5153412609,0.0368012505618488
"2020-11-04",5.7093625779,5.6266181927,5.7264821058,5.4982217329,0.00355601085363867
"2020-11-05",5.6922430499,5.6751235219,5.7036560686,5.6266181927,0.00858374368303686
"2020-11-06",5.5781128634,5.6351779567,5.6922430499,5.5752596088,-0.00706360150770463
"2020-11-09",6.0232205907,6.1658833237,6.4740348272,6.003247808,0.0900026791617111
"2020-11-10",6.2457744543,6.585311759,6.6052845416,6.222948417,0.0658102711280889
"2020-11-11",6.6623496349,6.5282466658,6.6652028895,6.391290442,-0.00870327512336371
"2020-11-12",6.4883011005,6.2514809636,6.5111271378,6.2115353983,-0.0433200129077877
"2020-11-13",6.2828667649,6.4569152992,6.5054206285,6.2457744543,0.0323333060324444
"2020-11-16",6.6195508149,6.6452301069,6.7422407654,6.5995780323,0.0287476242559837
"2020-11-17",6.576751995,6.7593602933,6.8877567531,6.5567792124,0.0170289342648908
"2020-11-18",6.8449579332,6.7194147281,6.8849034985,6.7194147281,-0.00592719769900758
"2020-11-19",6.7194147281,6.796452604,6.8306916599,6.6680561442,0.0113997434700877
"2020-11-20",6.8021591133,6.7479472747,6.8449579332,6.6965886908,-0.00716244899696383
"2020-11-23",6.8620774612,7.1616692006,7.1616692006,6.8592242065,0.059504731195191
"2020-11-24",7.3157449524,7.4812337227,7.6096301825,7.3157449524,0.043654632198018
"2020-11-25",7.4755272134,7.4897934867,7.5611248533,7.3243047164,0.00114351070411085
"2020-11-26",7.4013425922,7.3671035363,7.4041958469,7.2929189151,-0.0165166036125122
"2020-11-27",7.3956360829,7.2757993871,7.4355816482,7.2615331138,-0.0124709332579912
"2020-11-30",7.2073212752,7.1046041074,7.3842230642,7.0874845794,-0.0238106486942153
"2020-12-01",7.2472668405,7.3043319337,7.352837263,7.2158810392,0.0277245480131505
"2020-12-02",7.3043319337,7.3927828282,7.5611248533,7.2272940579,0.0120366430871965
"2020-12-03",7.4612609401,7.6010704185,7.6724017851,7.4327283935,0.0277848510986116
"2020-12-04",7.7579994249,7.8550100834,7.8664231021,7.7209071143,0.0328624734845784
"2020-12-07",7.7808254622,7.7037875863,7.9291947046,7.6096301825,-0.019439453154718
"2020-12-08",7.6495757478,7.6067769279,7.7437331516,7.5497118346,-0.0126725512413895
"2020-12-09",7.5982171639,7.6866680584,7.6952278224,7.5325923066,0.0104478562283271
"2020-12-10",7.7579994249,7.9377544686,8.0461781457,7.7408798969,0.0321430155102543
"2020-12-11",7.8435970648,7.8664231021,7.9434609779,7.7836787169,-0.0090269614544737
"2020-12-14",7.9976728165,7.8806893754,8.0661509284,7.8806893754,0.00181192294440971
"2020-12-15",7.9320479593,7.9463142326,7.9862597978,7.8863958847,0.00829281838996908
"2020-12-16",7.9463142326,8.0433248911,8.0575911644,7.8378905554,0.0121343387533575
"2020-12-17",8.0747106924,8.0575911644,8.1003899843,8.0090858351,0.00177210749801654
"2020-12-18",8.0176455991,8.0176455991,8.0804172017,7.9948195618,-0.00496983629000516
"2020-12-21",7.7579994249,7.7094940957,7.8435970648,7.5668313626,-0.0391922438007786
"2020-12-22",7.7608526796,7.7836787169,7.8378905554,7.7180538597,0.00957650044293283
"2020-12-23",7.8264775368,7.9748467792,8.060444419,7.8036514995,0.024263366622266
"2020-12-28",8.0918302203,8.0404716364,8.1374822949,8.0404716364,0.00819530686730792
"2020-12-29",8.0975367296,8.0661509284,8.1118030029,7.9862597978,0.00318866524061383
"2020-12-30",8.0889769657,8.086123711,8.1289225309,8.0461781457,0.00247306255315963
"2021-01-04",8.1745746055,8.2487592267,8.3257971026,8.1403355496,0.0199133217643
"2021-01-05",8.245905972,8.5711770035,8.6111225687,8.0575911644,0.038342270872187
