"Data","Open","Close","High","Low"
1987-02-26,2.2921346757e-10,2.3529877509e-10,2.4341254263e-10,2.2312816005e-10
1987-02-27,2.4341254263e-10,2.3124190341e-10,2.4341254263e-10,2.1095752082e-10
1987-03-05,2.3124190341e-10,2.3124190341e-10,2.3124190341e-10,2.0284377746e-10
1987-03-06,2.3124190341e-10,2.4138410679e-10,2.4300683611e-10,2.2312816005e-10
1987-03-09,2.2718503173e-10,2.2312816005e-10,2.3529877509e-10,2.1907535075e-10
1987-03-10,2.1095752082e-10,2.0690064914e-10,2.150143925e-10,2.0284783985e-10
1987-03-11,2.0690064914e-10,1.9270564856e-10,2.0690064914e-10,1.8256345726e-10
1987-03-12,1.9067315033e-10,1.785025232e-10,1.9067315033e-10,1.6633189607e-10
1987-03-13,1.785025232e-10,1.8864471449e-10,1.9675846994e-10,1.7444565152e-10
1987-03-16,1.8661627865e-10,1.785025232e-10,1.8661627865e-10,1.7038876775e-10
1987-03-17,1.7444565152e-10,1.7242126597e-10,1.8255939488e-10,1.6836439429e-10
1987-03-18,1.7241721568e-10,1.8255939488e-10,1.8255939488e-10,1.7039283013e-10
