,Residuals_LSTM
535,-54.37350915849689
536,85.26462177530072
537,2.1643950900702795
538,25.624415986164145
539,8.906454511878755
540,8.80815469136793
541,-58.9406166537033
542,28.12759786333735
543,24.088582917209603
544,-94.6937065128206
545,116.26617766473495
546,-8.34349396654059
547,22.43467793598398
548,-62.35912285367097
549,-17.212725616063235
550,-152.10715745530376
551,10.905264264660525
552,76.28914313538277
553,155.08654797213796
554,29.779690604883577
555,-10.301133489678564
556,127.92489444138728
557,45.73303117839207
558,110.46374954830905
559,97.53625557141159
560,-20.707027968002276
561,-54.80169301396766
562,-275.15952437641505
563,44.11681795311454
564,15.747997681363442
565,-30.90651478271722
566,-21.286442171772407
567,-28.472468999535312
568,-26.54110806883005
569,28.72093412717343
570,33.31776569304647
571,-2.465733951208698
572,-48.70666601970911
573,-58.48465508235068
574,52.88838404934746
575,-13.67864151786637
576,88.56720951473268
577,49.775846029858165
578,-77.0966355459574
579,136.7306989497562
580,3.715954445887169
581,-29.03397376352814
582,0.6367811305574578
583,1.1646533963119845
584,11.205345398246827
585,-23.670613495194626
586,60.64003356288889
587,-44.13325189122108
588,77.26406904218334
589,-27.971913599710227
590,-87.86159409628104
591,-17.357824595632422
